code,name,hex,textureUrl
LR001,Eik licht,#a37a41,/textures/decolegno/LR001.jpg
LR002,Antraciet,#2c2c2c,/textures/decolegno/LR002.jpg
LR003,Warm grijs,#a0a0a0,/textures/decolegno/LR003.jpg
LR004,Eik licht,#a37a41,/textures/decolegno/LR004.jpg
LR005,Koel grijs,#9aa3a8,/textures/decolegno/LR005.jpg
LR006,Warm grijs,#a0a0a0,/textures/decolegno/LR006.jpg
LR007,Antraciet,#2c2c2c,/textures/decolegno/LR007.jpg
LR008,Eik naturel,#b98745,/textures/decolegno/LR008.jpg
LR009,Warm grijs,#a0a0a0,/textures/decolegno/LR009.jpg
LR010,Noten,#7a5034,/textures/decolegno/LR010.jpg
LR011,Eik licht,#a37a41,/textures/decolegno/LR011.jpg
LR012,Eik licht,#a37a41,/textures/decolegno/LR012.jpg
LR013,Antraciet,#2c2c2c,/textures/decolegno/LR013.jpg
LR014,Eik gerookt,#7f5c35,/textures/decolegno/LR014.jpg
LR015,Beton licht,#bfbfbf,/textures/decolegno/LR015.jpg
LR016,Antraciet,#2c2c2c,/textures/decolegno/LR016.jpg
LR017,Koel grijs,#9aa3a8,/textures/decolegno/LR017.jpg
LR018,Noten,#7a5034,/textures/decolegno/LR018.jpg
LR019,Beton donker,#8c8c8c,/textures/decolegno/LR019.jpg
LR020,Eik naturel,#b98745,/textures/decolegno/LR020.jpg
LR021,Koel grijs,#9aa3a8,/textures/decolegno/LR021.jpg
LR022,Beton donker,#8c8c8c,/textures/decolegno/LR022.jpg
LR023,Antraciet,#2c2c2c,/textures/decolegno/LR023.jpg
LR024,Noten,#7a5034,/textures/decolegno/LR024.jpg
LR025,Antraciet,#2c2c2c,/textures/decolegno/LR025.jpg
LR026,Eik gerookt,#7f5c35,/textures/decolegno/LR026.jpg
LR027,Beton donker,#8c8c8c,/textures/decolegno/LR027.jpg
LR028,Noten,#7a5034,/textures/decolegno/LR028.jpg
LR029,Koel grijs,#9aa3a8,/textures/decolegno/LR029.jpg
LR030,Beton licht,#bfbfbf,/textures/decolegno/LR030.jpg
LR031,Noten,#7a5034,/textures/decolegno/LR031.jpg
LR032,Eik naturel,#b98745,/textures/decolegno/LR032.jpg
LR033,Eik gerookt,#7f5c35,/textures/decolegno/LR033.jpg
LR034,Warm grijs,#a0a0a0,/textures/decolegno/LR034.jpg
LR035,Warm grijs,#a0a0a0,/textures/decolegno/LR035.jpg
LR036,Warm grijs,#a0a0a0,/textures/decolegno/LR036.jpg
LR037,Koel grijs,#9aa3a8,/textures/decolegno/LR037.jpg
LR038,Antraciet,#2c2c2c,/textures/decolegno/LR038.jpg
LR039,Antraciet,#2c2c2c,/textures/decolegno/LR039.jpg
LR040,Antraciet,#2c2c2c,/textures/decolegno/LR040.jpg
LR041,Warm grijs,#a0a0a0,/textures/decolegno/LR041.jpg
LR042,Warm grijs,#a0a0a0,/textures/decolegno/LR042.jpg
LR043,Eik licht,#a37a41,/textures/decolegno/LR043.jpg
LR044,Eik gerookt,#7f5c35,/textures/decolegno/LR044.jpg
LR045,Noten,#7a5034,/textures/decolegno/LR045.jpg
LR046,Koel grijs,#9aa3a8,/textures/decolegno/LR046.jpg
LR047,Eik gerookt,#7f5c35,/textures/decolegno/LR047.jpg
LR048,Eik naturel,#b98745,/textures/decolegno/LR048.jpg
LR049,Eik licht,#a37a41,/textures/decolegno/LR049.jpg
LR050,Eik naturel,#b98745,/textures/decolegno/LR050.jpg
LR051,Beton licht,#bfbfbf,/textures/decolegno/LR051.jpg
LR052,Eik gerookt,#7f5c35,/textures/decolegno/LR052.jpg
LR053,Noten,#7a5034,/textures/decolegno/LR053.jpg
LR054,Noten,#7a5034,/textures/decolegno/LR054.jpg
LR055,Eik gerookt,#7f5c35,/textures/decolegno/LR055.jpg
LR056,Eik naturel,#b98745,/textures/decolegno/LR056.jpg
LR057,Antraciet,#2c2c2c,/textures/decolegno/LR057.jpg
LR058,Koel grijs,#9aa3a8,/textures/decolegno/LR058.jpg
LR059,Noten,#7a5034,/textures/decolegno/LR059.jpg
LR060,Koel grijs,#9aa3a8,/textures/decolegno/LR060.jpg
LR061,Beton donker,#8c8c8c,/textures/decolegno/LR061.jpg
LR062,Eik licht,#a37a41,/textures/decolegno/LR062.jpg
LR063,Eik licht,#a37a41,/textures/decolegno/LR063.jpg
